Country Name ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Norway,3.1,3.0,1.3,2.5,0.5,1.5,2.3,0.7,3.8,2.2,,2.4,1.3,0.7,2.1,2.0,2.2,3.5,1.9,2.8,2.2,1.3,3.5,5.8,..
Oman,..,-0.8,-0.3,0.2,0.6,1.9,3.5,5.8,12.4,3.5,,3.3,4.0,2.9,1.0,1.0,0.1,1.1,1.6,0.9,0.1,-0.9,1.5,2.8,..
Pakistan,4.4,3.1,3.3,2.9,7.4,9.1,7.9,7.6,20.3,13.6,,12.9,11.9,9.7,7.7,7.2,2.5,3.8,4.1,5.1,10.6,9.7,9.5,19.9,..
Palau,..,..,-1.3,0.9,5.0,4.0,4.4,3.2,12.0,1.4,,1.4,4.7,3.6,3.4,4.2,0.9,-1.0,1.4,2.1,0.3,0.2,2.6,12.4,..
Panama,1.5,0.3,1.0,0.4,0.2,3.2,2.5,4.2,8.8,2.4,,3.5,5.9,5.7,4.0,2.6,0.1,0.7,0.9,0.8,-0.4,-1.6,1.6,2.9,..
Papua New Guinea,15.6,9.3,11.8,14.7,2.2,1.8,2.4,0.9,10.8,6.9,,6.0,4.4,4.5,5.0,5.2,6.0,6.7,5.4,4.4,3.9,4.9,4.5,5.3,..
Paraguay,9.0,7.3,10.5,14.2,4.3,6.8,9.6,8.1,10.2,2.6,,4.7,8.3,3.7,2.7,5.0,3.1,4.1,3.6,4.0,2.8,1.8,4.8,9.8,..
Peru,3.8,2.0,0.2,2.3,3.7,1.6,2.0,1.8,5.8,2.9,,1.5,3.4,3.6,2.8,3.4,3.4,3.6,3.0,1.5,2.3,2.0,4.3,8.3,..
Philippines,4.0,5.3,2.7,2.3,4.8,6.5,5.5,2.9,8.3,4.2,,3.8,4.7,3.0,2.6,3.6,0.7,1.3,2.9,5.3,2.4,2.4,3.9,5.8,..
Poland,9.9,5.4,1.9,0.7,3.4,2.2,1.3,2.5,4.2,3.8,,2.6,4.2,3.6,1.0,0.1,-0.9,-0.7,2.1,1.8,2.2,3.4,5.1,14.4,..
Portugal,2.9,4.4,3.6,3.2,2.4,2.3,3.1,2.5,2.6,-0.8,,1.4,3.7,2.8,0.3,-0.3,0.5,0.6,1.4,1.0,0.3,0.0,1.3,7.8,..
Puerto Rico,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,1.7,1.5,0.2,2.3,6.8,8.8,11.8,13.8,15.1,-4.9,,-2.4,1.1,2.3,3.2,3.3,1.8,2.7,0.4,0.3,-0.7,-2.5,2.3,5.0,..
Romania,45.7,34.5,22.5,15.3,11.9,9.0,6.6,4.8,7.9,5.6,,6.1,5.8,3.3,4.0,1.1,-0.6,-1.5,1.3,4.6,3.8,2.6,5.1,13.8,..
Russian Federation,20.8,21.5,15.8,13.7,10.9,12.7,9.7,9.0,14.1,11.6,,6.8,8.4,5.1,6.8,7.8,15.5,7.0,3.7,2.9,4.5,3.4,6.7,..,..
Rwanda,3.9,3.3,2.0,7.4,12.3,9.0,8.9,9.1,15.4,12.9,,-0.2,3.1,10.3,5.9,2.4,2.5,7.2,8.3,-0.3,3.3,9.9,-0.4,17.7,..
Samoa,1.0,3.8,8.1,0.1,16.3,1.9,3.7,5.6,11.6,6.3,,0.8,5.2,2.0,0.6,-0.4,0.7,1.3,1.7,4.2,1.0,-1.6,3.1,11.0,..
San Marino,..,..,..,..,1.4,1.7,2.1,2.5,4.3,2.2,,2.6,2.9,2.8,1.6,1.1,0.1,0.6,1.0,..,..,..,..,..,..
Sao Tome and Principe,12.2,9.2,10.1,9.8,13.3,17.2,23.1,18.5,32.0,17.0,,13.3,14.3,10.6,8.1,7.0,5.2,5.4,5.7,7.9,7.7,9.8,8.1,18.0,..
Saudi Arabia,-1.1,-1.1,0.2,0.6,0.5,0.5,2.2,4.2,9.9,5.1,,5.3,5.8,2.9,3.5,2.2,1.2,2.1,-0.8,2.5,-2.1,3.4,3.1,2.5,..
Senegal,0.7,3.0,2.3,-0.1,0.5,1.7,2.1,5.9,7.3,-2.2,,1.2,3.4,1.4,0.7,-1.1,0.1,0.8,1.3,0.5,1.8,2.5,2.2,9.7,..
Serbia,71.1,95.0,19.5,9.9,11.0,16.1,11.7,6.4,12.4,8.1,,6.1,11.1,7.3,7.7,2.1,1.4,1.1,3.1,2.0,1.8,1.6,4.1,12.0,..
Seychelles,6.3,6.0,0.2,3.3,3.9,0.9,-0.4,5.3,37.0,31.8,,-2.4,2.6,7.1,4.3,1.4,4.0,-1.0,2.9,3.7,2.1,8.3,..,..,..
Sierra Leone,..,..,..,..,..,..,..,11.6,8.2,7.5,,7.2,6.8,6.6,5.5,4.6,6.7,10.9,18.2,16.0,14.8,13.4,11.9,27.2,..
Singapore,1.4,1.0,-0.4,0.5,1.7,0.4,1.0,2.1,6.6,0.6,,2.8,5.2,4.6,2.4,1.0,-0.5,-0.5,0.6,0.4,0.6,-0.2,2.3,6.1,..
Sint Maarten (Dutch part),..,..,..,..,..,..,0.3,4.4,-0.4,6.0,,1.3,4.6,4.0,2.5,1.9,0.3,0.1,2.2,..,..,..,..,..,..
Slovak Republic,12.0,7.3,3.1,8.6,7.5,2.7,4.5,2.8,4.6,1.6,,1.0,3.9,3.6,1.4,-0.1,-0.3,-0.5,1.3,2.5,2.7,1.9,3.1,12.8,..
Slovenia,8.9,8.4,7.5,5.5,3.6,2.5,2.5,3.7,5.6,0.8,,1.8,1.8,2.6,1.8,0.2,-0.5,-0.1,1.4,1.7,1.6,-0.1,1.9,8.8,..
Solomon Islands,7.9,6.9,10.9,8.3,7.0,7.3,11.2,7.7,17.3,7.1,,1.1,7.3,5.9,5.4,5.2,-0.6,0.5,0.5,3.5,1.6,3.0,-0.1,5.5,..
Somalia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,5.3,5.7,9.5,5.7,-0.7,2.1,3.2,6.2,10.1,7.2,,4.1,5.0,5.7,5.8,6.1,4.5,6.6,5.2,4.5,4.1,3.2,4.6,7.0,..
South Sudan,..,..,..,..,..,..,..,..,..,5.0,,1.2,46.9,45.5,-0.1,1.7,52.8,380.0,187.9,83.5,87.2,29.7,10.5,-6.7,..
Spain,3.4,3.6,3.1,3.0,3.0,3.4,3.5,2.8,4.1,-0.3,,1.8,3.2,2.4,1.4,-0.2,-0.5,-0.2,2.0,1.7,0.7,-0.3,3.1,8.4,..
Sri Lanka,6.2,14.2,9.6,6.3,7.6,11.6,10.0,15.8,22.6,3.5,,6.2,6.7,7.5,6.9,3.2,3.8,4.0,7.7,2.1,3.5,6.2,7.0,49.7,..
St. Kitts and Nevis,2.1,2.3,2.0,2.2,2.3,3.4,8.5,4.5,5.3,2.1,,0.9,5.8,0.8,1.1,0.2,-2.3,-0.7,0.7,-1.0,-0.3,-1.2,1.2,2.7,..
St. Lucia,3.7,5.3,-0.3,1.0,1.5,3.9,2.4,2.8,5.5,-0.2,,3.3,2.8,4.2,1.5,3.5,-1.0,-3.1,0.1,1.9,0.5,-1.8,2.4,6.4,..
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,0.2,0.9,1.9,0.2,3.0,3.7,2.7,7.2,10.1,0.4,,0.7,3.2,2.6,0.8,0.2,-1.7,-0.1,2.2,2.3,0.9,-0.6,1.6,5.7,..
Sudan,7.1,1.9,22.2,6.5,9.7,8.5,7.2,14.8,14.3,11.3,,13.0,18.1,35.6,36.5,36.9,16.9,17.8,32.4,63.3,51.0,163.3,359.1,138.8,..
Suriname,59.4,38.6,15.5,23.0,10.0,9.9,11.3,6.4,14.7,-0.1,,6.9,17.7,5.0,1.9,3.4,6.9,55.4,22.0,..,..,34.9,59.1,52.4,..
Eswatini,12.2,5.9,12.0,7.3,3.4,4.8,5.3,8.1,12.7,7.4,,4.5,6.1,8.9,5.6,5.7,5.0,7.8,6.2,4.8,2.6,..,..,..,..
Sweden,0.9,2.4,2.2,1.9,0.4,0.5,1.4,2.2,3.4,-0.5,,1.2,3.0,0.9,0.0,-0.2,0.0,1.0,1.8,2.0,1.8,0.5,2.2,8.4,..
Switzerland,1.6,1.0,0.6,0.6,0.8,1.2,1.1,0.7,2.4,-0.5,,0.7,0.2,-0.7,-0.2,0.0,-1.1,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8,..
Syrian Arab Republic,-3.8,3.0,-0.1,5.8,4.4,7.2,10.0,3.9,15.7,2.9,,4.4,4.8,36.7,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,..,38.6,12.2,16.3,7.1,7.1,10.0,13.1,20.5,6.4,,6.4,12.4,5.8,5.0,6.1,5.7,6.0,..,..,..,..,..,..,..
Tanzania,5.9,5.1,5.3,5.3,4.7,5.0,7.3,7.0,10.3,12.1,,6.2,12.7,16.0,7.9,6.1,5.6,5.2,5.3,3.5,3.5,3.3,3.7,4.4,..
Thailand,1.6,1.6,0.7,1.8,2.8,4.5,4.6,2.2,5.5,-0.8,,3.2,3.8,3.0,2.2,1.9,-0.9,0.2,0.7,1.1,0.7,-0.8,1.2,6.1,..
Timor-Leste,..,..,..,7.2,3.2,1.1,3.9,10.3,9.1,0.7,,6.8,13.5,11.8,11.0,0.8,0.6,-1.5,0.5,2.3,1.0,..,..,..,..
Togo,1.9,3.9,3.1,-0.9,0.4,6.8,2.2,0.9,8.7,3.7,,1.4,3.6,2.6,1.8,0.2,2.6,1.3,-1.0,0.9,0.7,1.7,4.2,8.0,..
Tonga,6.3,8.3,10.4,11.6,11.0,8.7,6.1,5.8,10.4,1.4,,3.5,6.3,1.1,0.8,2.5,-1.1,2.6,7.5,5.0,1.2,-0.3,5.6,11.0,..
Trinidad and Tobago,3.6,5.5,4.2,3.8,3.7,6.9,8.3,7.9,12.0,7.0,,10.5,5.1,9.3,5.2,5.7,4.7,3.1,1.9,1.0,1.0,0.6,2.1,5.8,..
Tunisia,3.0,2.0,2.7,2.7,3.6,2.0,3.2,3.0,4.3,3.7,,3.3,3.2,4.6,5.3,4.6,4.4,3.6,5.3,7.3,6.7,5.6,5.7,8.3,..
Turkiye,54.9,54.4,45.0,21.6,8.6,8.2,9.6,8.8,10.4,6.3,,8.6,6.5,8.9,7.5,8.9,7.7,7.8,11.1,16.3,15.2,12.3,19.6,72.3,..
Turkmenistan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,..,..,..,..,,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,3.4,1.9,-0.3,8.7,3.7,8.4,7.3,6.1,12.1,13.0,,4.0,16.6,12.7,4.9,3.1,5.6,5.7,5.2,2.6,2.9,3.3,2.2,7.2,..
Ukraine,28.2,12.0,0.8,5.2,9.0,13.6,9.1,12.8,25.2,15.9,,9.4,8.0,0.6,-0.2,12.1,48.7,13.9,14.4,11.0,7.9,2.7,9.4,20.2,..
United Arab Emirates,..,..,..,..,..,..,..,..,12.3,1.6,,0.9,0.9,0.7,1.1,2.3,4.1,1.6,2.0,3.1,-1.9,-2.1,0.0,4.8,..
United Kingdom,1.2,1.5,1.5,1.4,1.4,2.1,2.5,2.4,3.5,2.0,,2.5,3.9,2.6,2.3,1.5,0.4,1.0,2.6,2.3,1.7,1.0,2.5,7.9,..
United States,3.4,2.8,1.6,2.3,2.7,3.4,3.2,2.9,3.8,-0.4,,1.6,3.2,2.1,1.5,1.6,0.1,1.3,2.1,2.4,1.8,1.2,4.7,8.0,..
Uruguay,4.8,4.4,14.0,19.4,9.2,4.7,6.4,8.1,7.9,7.1,,6.7,8.1,8.1,8.6,8.9,8.7,9.6,6.2,7.6,7.9,9.8,7.7,9.1,..
Uzbekistan,..,..,..,..,..,..,..,..,..,..,,..,13.8,13.2,11.8,9.3,8.8,8.1,13.9,17.5,14.5,12.9,10.8,11.4,..
Vanuatu,2.5,3.6,2.0,3.0,1.4,1.2,2.0,3.9,4.8,4.3,,2.8,0.9,1.3,1.5,0.8,2.5,0.8,3.1,2.3,2.8,5.3,2.3,7.1,..
"Venezuela, RB",..,..,..,..,..,..,..,..,..,27.1,,28.2,26.1,21.1,40.6,62.2,121.7,254.9,..,..,..,..,..,..,..
Viet Nam,-1.7,-0.4,3.8,3.2,7.8,8.3,7.4,8.3,23.1,6.7,,9.2,18.7,9.1,6.6,4.1,0.6,2.7,3.5,3.5,2.8,3.2,1.8,3.2,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,2.8,1.2,5.7,4.4,3.0,4.1,3.8,1.9,9.9,2.8,,3.7,2.9,2.8,1.7,1.7,1.4,-0.2,0.2,-0.2,1.6,-0.7,1.2,3.7,..
"Yemen, Rep.",4.6,11.9,12.2,10.8,12.5,11.8,10.8,7.9,19.0,5.4,,11.2,19.5,9.9,11.0,8.1,..,..,..,..,..,..,..,..,..
Zambia,26.0,21.4,22.2,21.4,18.0,18.3,9.0,10.7,12.4,13.4,,8.5,6.4,6.6,7.0,7.8,10.1,17.9,6.6,7.5,9.2,15.7,22.0,11.0,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..,,3.0,3.5,3.7,1.6,-0.2,-2.4,-1.5,0.9,10.6,255.3,557.2,98.5,104.7,..
"Created from: World Development Indicators
Series : Inflation, consumer prices (annual %)



",,,,,,,,,,,,,,,,,,,,,,,,,
